City_ID,City,Country,Date,Lng,Lat,Max Temp,Humidity,Cloudiness,Wind Speed
66,Guerrero Negro,MX,2022-02-01 13:49:04,-114.0611,27.9769,57.45,79,92,10.8
67,Souillac,MU,2022-02-01 13:49:04,57.5167,-20.5167,79.36,94,75,20.71
68,Havelock,US,2022-02-01 13:49:05,-76.9013,34.8791,40.95,89,0,4.0
69,Chokurdakh,RU,2022-02-01 13:49:05,147.9167,70.6333,-15.0,96,100,0.89
70,Llanes,ES,2022-02-01 13:49:05,-4.7549,43.4198,58.86,66,6,4.85
71,Mount Isa,AU,2022-02-01 13:49:06,139.5,-20.7333,80.37,78,39,0.0
72,Esperance,AU,2022-02-01 13:49:06,121.9,-33.8667,62.44,59,38,17.92
73,Kearney,US,2022-02-01 13:49:07,-99.0815,40.6995,30.15,64,0,9.22
74,Iqaluit,CA,2022-02-01 13:47:36,-68.5145,63.7506,-29.31,73,40,1.99
75,Saint-Pierre,RE,2022-02-01 13:49:07,55.4781,-21.3393,85.64,78,75,21.85
76,Ahuimanu,US,2022-02-01 13:49:08,-157.8378,21.4447,73.11,85,20,1.01
77,Kokstad,ZA,2022-02-01 13:49:08,29.4241,-30.5472,74.35,70,97,3.47
78,Bluff,NZ,2022-02-01 13:49:08,168.3333,-46.6,59.81,95,41,7.14
79,Cidreira,BR,2022-02-01 13:46:21,-50.2056,-30.1811,74.43,68,100,7.74
80,Mahebourg,MU,2022-02-01 13:49:09,57.7,-20.4081,79.25,94,75,20.71
81,Jamestown,US,2022-02-01 13:47:43,-79.2353,42.097,25.72,44,98,5.01
82,Vardo,NO,2022-02-01 13:49:09,31.1107,70.3705,19.6,92,0,2.3
83,Ambulu,ID,2022-02-01 13:49:10,113.6058,-8.345,77.67,87,90,2.24
84,Avarua,CK,2022-02-01 13:49:10,-159.775,-21.2078,78.85,83,20,11.5
85,Sao Francisco Do Sul,BR,2022-02-01 13:47:13,-48.6381,-26.2433,86.11,69,40,4.61
86,New Norfolk,AU,2022-02-01 13:49:10,147.0587,-42.7826,55.65,45,96,6.78
87,Tirlyanskiy,RU,2022-02-01 13:49:11,58.5806,54.2109,14.32,99,99,2.8
88,Shieli,KZ,2022-02-01 13:49:11,66.75,44.1667,29.46,84,3,7.7
89,Suksun,RU,2022-02-01 13:49:12,57.3949,57.1431,27.52,83,100,14.32
90,Mar Del Plata,AR,2022-02-01 13:44:33,-57.5575,-38.0023,70.88,56,0,25.99
91,Tiksi,RU,2022-02-01 13:49:12,128.8694,71.6872,-15.14,100,100,2.77
92,Jiayuguan,CN,2022-02-01 13:50:13,98.3,39.8167,20.61,29,92,3.13
