City_ID,City,Country,Lng,Lat,Max Temp,Humidity,Cloudiness,Wind Speed,current_description
79,Talnakh,RU,88.3972,69.4865,-16.65,100,100,2.84,overcast clouds
80,Zhangjiakou,CN,114.8794,40.81,18.55,44,19,4.07,light snow
81,Karaton,ID,106.1045,-6.3424,82.56,95,100,7.31,light rain
82,New Norfolk,AU,147.0587,-42.7826,76.66,35,0,1.99,clear sky
83,Irtyshskiy,RU,68.1333,58.3333,9.81,93,100,3.74,overcast clouds
84,Port Moresby,PG,147.1797,-9.4431,89.02,58,40,11.5,haze
85,Dunedin,NZ,170.5036,-45.8742,57.79,61,85,8.01,overcast clouds
86,Butaritari,KI,172.7902,3.0707,82.83,74,93,17.11,overcast clouds
87,Upernavik,GL,-56.1549,72.7868,-1.43,97,100,3.06,overcast clouds
88,Torbay,CA,-52.7314,47.6666,42.76,94,100,12.66,moderate rain
89,Ilulissat,GL,-51.1,69.2167,3.22,51,100,13.8,overcast clouds
90,Sokoto,NG,5.239,13.0609,62.2,17,0,11.18,clear sky
91,Pangnirtung,CA,-65.7125,66.1451,-33.32,95,100,5.57,overcast clouds
92,Banda Aceh,ID,95.3222,5.5577,81.19,69,98,5.93,overcast clouds
93,Ust-Uda,RU,103.0304,54.1742,22.41,79,100,6.53,overcast clouds
94,Lebu,CL,-73.65,-37.6167,58.01,84,0,16.4,clear sky
95,Ribeira Grande,PT,-28.7,38.5167,59.5,75,4,15.01,clear sky
96,Tiksi,RU,128.8694,71.6872,-22.81,98,99,6.06,overcast clouds
97,Dikson,RU,80.5464,73.5069,-21.37,100,98,4.21,overcast clouds
98,Sioux Lookout,CA,-91.917,50.1001,7.18,85,100,6.91,overcast clouds
99,Faya,SA,42.4509,18.3851,48.72,75,0,2.33,clear sky
100,Beloha,MG,45.05,-25.1667,74.12,91,100,21.9,light rain
101,Bheramara,BD,88.9925,24.0232,61.84,61,0,4.32,clear sky
102,Ileza,RU,43.9002,61.0533,8.2,96,100,4.45,overcast clouds
103,Aban,RU,96.06,56.67,18.37,92,100,7.65,overcast clouds
104,Hambantota,LK,81.1185,6.1241,77.9,72,59,13.58,broken clouds
105,Union,US,-74.2663,40.6334,22.17,54,0,4.61,clear sky
106,Mehamn,NO,27.8492,71.0357,21.88,87,82,18.25,broken clouds
107,Richards Bay,ZA,32.0377,-28.783,71.83,86,73,6.04,broken clouds
108,Channel-Port Aux Basques,CA,-59.1367,47.5702,20.95,83,84,33.67,light snow
109,Bubaque,GW,-15.8333,11.2833,77.65,63,1,7.36,clear sky
110,Kapaa,US,-159.319,22.0752,78.78,72,0,4.0,clear sky
111,Nalut,LY,10.85,30.3333,52.88,22,100,10.65,overcast clouds
112,Larsnes,NO,5.5773,62.2028,38.01,78,100,28.59,light rain
113,Puri,IN,85.85,19.8,66.72,38,37,8.99,scattered clouds
114,Indramayu,ID,108.32,-6.3264,81.79,77,94,19.75,overcast clouds
115,Guadalupe Y Calvo,MX,-106.9667,26.1,37.08,70,19,3.33,few clouds
116,Hobart,AU,147.3294,-42.8794,77.02,46,20,1.01,few clouds
117,Aklavik,CA,-135.0107,68.2191,-30.17,84,73,2.68,broken clouds
118,Tres Picos,MX,-93.5333,15.8667,69.55,63,14,12.77,few clouds
119,Bredasdorp,ZA,20.0403,-34.5322,68.29,96,51,6.46,broken clouds
120,Burgeo,CA,-57.6152,47.6167,18.84,79,100,23.4,overcast clouds
121,Flinders,AU,150.8552,-34.5833,72.81,66,88,15.95,overcast clouds
122,Alice Springs,AU,133.8833,-23.7,83.75,28,0,5.75,clear sky
123,Jackson,US,-122.8345,42.4165,46.27,68,0,5.75,clear sky
124,Sohbatpur,PK,68.5434,28.5202,58.55,38,0,1.1,clear sky
125,Yulara,AU,130.9889,-25.2406,87.64,18,0,6.91,clear sky
126,Jinka,ET,36.65,5.65,66.42,50,88,2.33,overcast clouds
127,Zlitan,LY,14.5687,32.4674,58.66,50,22,2.53,few clouds
128,Mackay,AU,149.2,-21.15,83.68,72,68,20.96,broken clouds
129,Yar-Sale,RU,70.8333,66.8333,-16.22,100,85,3.83,overcast clouds
130,Kununurra,AU,128.7333,-15.7667,84.18,79,75,11.5,broken clouds
131,Carnarvon,AU,113.6333,-24.8667,82.08,70,6,15.08,clear sky
132,Rio Gallegos,AR,-69.2181,-51.6226,57.25,72,0,3.44,clear sky
133,Aasiaat,GL,-52.8699,68.7098,-10.25,90,100,7.36,overcast clouds
134,Lompoc,US,-120.4579,34.6391,57.61,73,0,0.0,clear sky
135,East London,ZA,27.9116,-33.0153,67.14,94,0,5.75,clear sky
136,Tiarei,PF,-149.3333,-17.5333,86.02,75,14,20.24,light rain
137,Okhotsk,RU,143.3,59.3833,2.28,69,45,14.14,scattered clouds
138,Arvin,US,-118.8284,35.2091,58.93,53,72,1.19,broken clouds
139,Sao Filipe,CV,-24.4956,14.8961,72.75,73,0,11.39,clear sky
140,Camacha,PT,-16.3333,33.0833,62.53,82,40,24.16,scattered clouds
141,Quatre Cocos,MU,57.7625,-20.2078,81.09,80,100,14.18,overcast clouds
142,Towada,JP,141.2067,40.6127,28.2,62,28,15.9,scattered clouds
143,Mahajanga,MG,46.3167,-15.7167,80.62,83,20,12.66,few clouds
144,Atuona,PF,-139.0333,-9.8,78.69,78,38,20.87,light rain
145,Tabou,CI,-7.3528,4.423,77.9,88,35,4.94,moderate rain
146,Husavik,IS,-17.3389,66.0449,30.11,81,100,22.12,light snow
147,Mar Del Plata,AR,-57.5575,-38.0023,61.88,75,100,5.01,overcast clouds
148,Puro,PH,123.3827,12.4841,82.13,67,45,16.35,scattered clouds
149,Port Alfred,ZA,26.891,-33.5906,70.2,88,49,25.12,scattered clouds
150,Kiruna,SE,20.2251,67.8557,23.92,93,100,17.27,overcast clouds
151,Yaan,NG,8.5667,7.3833,75.47,18,1,7.85,clear sky
152,Weston,US,-80.3998,26.1004,73.42,90,100,1.01,overcast clouds
153,Victoria,HK,114.1577,22.2855,65.03,76,99,5.99,overcast clouds
154,Ponta Do Sol,PT,-17.1,32.6667,67.12,51,53,12.95,broken clouds
155,Horsham,GB,-0.3272,51.064,50.45,84,40,16.11,light rain
156,Lagoa,PT,-27.9833,39.05,58.5,77,3,15.73,clear sky
157,Severo-Kurilsk,RU,156.125,50.6789,29.97,81,92,13.56,overcast clouds
158,Bengkulu,ID,102.2655,-3.8004,74.26,93,100,11.41,overcast clouds
159,Rawson,AR,-65.1023,-43.3002,60.19,56,89,12.21,overcast clouds
160,Porto Ferreira,BR,-47.4792,-21.8539,72.01,97,100,1.03,overcast clouds
161,Lasa,IT,10.7002,46.6166,35.06,41,4,3.44,clear sky
162,Gizo,SB,156.8419,-8.103,86.49,69,100,9.86,overcast clouds
163,Tura,IN,90.2201,25.5198,57.34,72,0,2.46,clear sky
164,Neryungri,RU,124.6491,56.6709,-4.13,96,91,4.23,overcast clouds
165,Chapais,CA,-74.8492,49.7834,-24.02,100,31,2.33,scattered clouds
166,Mount Gambier,AU,140.7667,-37.8333,85.91,20,40,13.8,scattered clouds
